Year,ID,Spp,Length,Weight,Spine,Sex,Date,Comment,AgeCon,KeyAge,Discharge,Gage.Height,First.Date,LenCat,logtl,logwt,gcat,Ws,Wr,Discharge_cent
2017,15,CCF,551,1366,Y,NA,07/29/2017,15,9,9,180.3,NA,7/28/2018,550,2.741151598851785,3.1354506993455136,quality,1695.7169707711787,80.55589603368598,-0.6088476529324222
2017,16,CCF,554,1376,Y,NA,07/29/2017,16,6,6,180.3,NA,7/28/2018,550,2.74350976472843,3.1386184338994925,quality,1726.3194554374095,79.70714780894093,-0.6088476529324222
2017,17,CCF,510,1149,Y,NA,07/29/2017,17,7,7,180.3,NA,7/28/2018,510,2.7075701760979363,3.060320028688285,quality,1314.426057486178,87.41457866389585,-0.6088476529324222
2017,18,CCF,639,2388,Y,NA,07/29/2017,18,10,10,180.3,NA,7/28/2018,630,2.8055008581584002,3.3780343224573315,preferred,2762.61157279951,86.4399477477069,-0.6088476529324222
2017,19,CCF,549,1419,Y,NA,07/29/2017,19,7,7,180.3,NA,7/28/2018,540,2.739572344450092,3.151982395457474,quality,1675.5265062670733,84.68979718867044,-0.6088476529324222
2017,20,CCF,535,1103,Y,NA,07/29/2017,20,7,7,180.3,NA,7/28/2018,530,2.7283537820212285,3.0425755124401905,quality,1538.8537882042488,71.67672513495488,-0.6088476529324222
2017,21,CCF,477,858,Y,NA,07/29/2017,21,7,7,180.3,NA,7/28/2018,470,2.678518379040114,2.9334872878487053,quality,1054.4828979433382,81.3668957242874,-0.6088476529324222
2017,22,CCF,615,1785,Y,NA,07/29/2017,22,7,7,180.3,NA,7/28/2018,610,2.788875115775417,3.251638220448212,preferred,2435.312126791613,73.29655941686774,-0.6088476529324222
2017,23,CCF,553,1572,Y,NA,07/29/2017,23,8,8,180.3,NA,7/28/2018,550,2.7427251313046983,3.196452541703389,quality,1716.0762566179746,91.6043208416671,-0.6088476529324222
2017,24,CCF,687,2758,Y,NA,07/29/2017,24,10,10,180.3,NA,7/28/2018,680,2.8369567370595505,3.440594261839831,preferred,3506.9977873459343,78.64276418854631,-0.6088476529324222
2017,25,CCF,423,591,Y,NA,07/29/2017,25,5,5,180.3,NA,7/28/2018,420,2.6263403673750423,2.7715874808812555,quality,709.8476846884379,83.25729769188416,-0.6088476529324222
2017,26,CCF,471,809,Y,NA,07/29/2017,26,6,6,180.3,NA,7/28/2018,470,2.673020907128896,2.9079485216122722,quality,1011.4184417108005,79.986676793394,-0.6088476529324222
2017,27,CCF,510,1134,Y,NA,07/29/2017,27,6,6,180.3,NA,7/28/2018,510,2.7075701760979363,3.0546130545568877,quality,1314.426057486178,86.27339617481104,-0.6088476529324222
2017,29,CCF,625,1824,Y,NA,07/29/2017,29,8,8,180.3,NA,7/28/2018,620,2.7958800173440754,3.2610248339923973,preferred,2568.1996185428993,71.022516584395,-0.6088476529324222
2017,30,CCF,585,1787,Y,NA,07/29/2017,30,7,7,180.3,NA,7/28/2018,580,2.7671558660821804,3.252124552505644,quality,2065.4344804450534,86.5193264138276,-0.6088476529324222
2017,31,CCF,446,694,Y,NA,07/29/2017,31,7,7,180.3,NA,7/28/2018,440,2.649334858712142,2.841359470454855,quality,845.1017958716817,82.12028460833793,-0.6088476529324222
2017,32,CCF,524,1065,Y,NA,07/29/2017,32,7,7,180.3,NA,7/28/2018,520,2.7193312869837265,3.0273496077747564,quality,1437.0678031524224,74.10923810719048,-0.6088476529324222
2017,33,CCF,565,1485,Y,NA,07/29/2017,33,9,9,180.3,NA,7/28/2018,560,2.7520484478194387,3.171726453653231,quality,1841.8217071105635,80.62669661601812,-0.6088476529324222
2017,34,CCF,546,1232,Y,NA,07/29/2017,34,8,8,180.3,NA,7/28/2018,540,2.7371926427047373,3.090610707828407,quality,1645.5556161327781,74.86832945186772,-0.6088476529324222
2017,37,CCF,471,772,Y,NA,07/29/2017,37,5,5,180.3,NA,7/28/2018,470,2.673020907128896,2.887617300335736,quality,1011.4184417108005,76.32844806489513,-0.6088476529324222
2017,38,CCF,456,639,Y,NA,07/29/2017,38,5,5,180.3,NA,7/28/2018,450,2.658964842664435,2.8055008581584002,quality,909.1387976222853,70.28629750168045,-0.6088476529324222
2017,39,CCF,479,963,Y,NA,07/29/2017,39,9,9,180.3,NA,7/28/2018,470,2.680335513414563,2.9836262871245345,quality,1069.1168667749116,90.07434359397745,-0.6088476529324222
2017,40,CCF,550,1229,Y,NA,07/29/2017,40,8,8,180.3,NA,7/28/2018,550,2.7403626894942437,3.089551882886454,quality,1685.6006854033615,72.91169318111082,-0.6088476529324222
2017,43,CCF,434,625,Y,NA,07/29/2017,43,4,4,180.3,NA,7/28/2018,430,2.637489729512511,2.7958800173440754,quality,772.4869813134898,80.90751237480897,-0.6088476529324222
2017,44,CCF,495,956,Y,NA,07/29/2017,44,6,6,180.3,NA,7/28/2018,490,2.694605198933569,2.9804578922761,quality,1191.3229967560915,80.24691898025445,-0.6088476529324222
2017,49,CCF,672,2671,Y,NA,07/29/2017,49,9,9,180.3,NA,7/28/2018,670,2.8273692730538253,3.426673888021373,preferred,3261.0269311725497,81.90671393932963,-0.6088476529324222
2017,50,CCF,535,1335,Y,NA,07/29/2017,50,6,6,180.3,NA,7/28/2018,530,2.7283537820212285,3.125481265700594,quality,1538.8537882042488,86.75288128301429,-0.6088476529324222
